,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type
BrinkMignon or the Happiness Squared,Unique,1,1/16/23,KnownOrigin,,Lapin mignon,https://opensea.io/assets/ethereum/0xABB3738f04Dc2Ec20f4AE4462c3d069d02AE045B/28712000,,ERC-721,,,QmexdpJVaJ8pfez2dwgs9JyZzfp67XWVjcLoBYdEmEcUA1,,,IPFS
Cloud Poppers,Generative,100,2/16/23,Levels.art,,,https://opensea.io/collection/cloud-poppers-by-bryan-brinkman,0x53402bF3280E34ECD12dd25ed2f0a611E4Faf313,ERC-721,0,99,,,ONCHAIN,ONCHAIN
The Universe Within,Edition,100,2/26/23,Aku Dreams,,AKU,https://opensea.io/assets/ethereum/0x2992362e9672bd3b75fc9cd46b167f3da53eba40/4,0x2992362e9672Bd3B75fc9CD46B167F3Da53eba40,ERC-1155,4,,Arweave,,,Arweave
SuperPuma,Unique,1,2/28/23,Super Puma,,Super Puma,https://opensea.io/assets/ethereum/0x283c0bba69ebd4643cfce761b34b0206e75b2091/8616,0x283c0BbA69EbD4643cfCe761B34b0206E75b2091,ERC-721,8616,8616,Hosted by Platform,Moonpay/Hypermint,,Platform
Blossom,Generative,300,2/29/23,NiftyGateway,,Morrow/UAE Bundle,https://sansa.xyz/collections/blossom-by-bryan-brinkman,0x6ed986f5e13f62d68e72593f2f07c3531bab35c6,,,,.,NG API,,Platform
Float On,Edition,150,3/14/23,Noble Card,,,https://opensea.io/assets/ethereum/0x7e9b9ba1a3b4873279857056279cef6a4fcdf340/42,0x7e9b9bA1A3B4873279857056279Cef6A4FCDf340,ERC-1155,42,,Arweave,,,Arweave
Automatonomy,Edition,1,3/15/23,Sothebys,,Brinkman Reserve Mint,https://www.sothebys.com/en/buy/auction/2023/natively-digital-oddly-satisfying/automatonomy,0x9494Fa95d7987718da9ecef224f8520F5fA20Fe3,ERC-721,7,7,Arweave,,,Arweave
Muga X Brinkman,Edition,99,6/6/23,NiftyGateway,,,https://www.niftygateway.com/marketplace/collection/0x9fed0b32e805184ce10afa7a7dd4efc3d0d22873/1?page=1,0x9Fed0b32E805184Ce10afa7A7dD4EFC3D0d22873,ERC-721,1,99,.,NG API,,Platform
Notified,Edition,50,6/8/23,Dew Drops,,,https://opensea.io/collection/notified-by-bryan-brinkman-on-dew-drops,0x8029cc0727b84C4a5906B44B3f069C3eFd5dEe12,ERC-721,1,50,bafybeidwnkuwiaf44if7vtju5dmsvcnxqtdmdxpmfeqccomrequt4f64h4,bafybeiauqrgp6yfxzksmayf7nvriqq4mglyeozpjmzi4n2o5de2kvjkuam,Y,
Ripples,Edition,1,6/19/23,Drip Drop StormDrain,,Krugman / Transient,https://opensea.io/assets/ethereum/0xe0fc5edb5a264eed0c861a5b1652c11b8f2aa6ac/1,0xe0Fc5edB5A264Eed0C861a5b1652C11B8F2Aa6aC,ERC-721,1,1,Arweave,,,Arweave
Dead Man Walking,Edition,10,7/12/23,Unit London,,,https://opensea.io/collection/stored-memories,0x276Dc6BB7118353496b04BB4a16bcA1763B6FbdA,ERC-1155,1,,bafybeigagrcnf326fz27kkt5swinntzpceyaiz6bnp2chrscynpf542gbm,bafyreibxpryitdhi56l5nqqpcbizyhvupw3jmpioruutqhufirathvobka,Y,IPFS
